1;0.004531469587691944;5.65801312730141E-4
2;0.0014979959841757448;2.536338661789601E-4
3;0.0011489686658510442;1.8477502026089594E-4
4;0.0010025237325263872;1.573868106527904E-4
5;9.045357680822101E-4;1.4729594480529973E-4
6;8.12649107753971E-4;1.4780466119901277E-4
7;6.992627282040441E-4;1.5082304092096113E-4
8;5.573914336098557E-4;1.484786019071763E-4
9;4.251151715037366E-4;1.4158884850241408E-4
10;3.323848972359386E-4;1.3444419276447593E-4
11;2.721085387932285E-4;1.2809896181800948E-4
12;2.3118414602660837E-4;1.2220526956626125E-4
13;2.0160942461181132E-4;1.1670896884508372E-4
14;1.7913741855694247E-4;1.1164542717676989E-4
15;1.6141708496906799E-4;1.0702263490804009E-4
16;1.4704656937027913E-4;1.0281969104857959E-4
17;1.351345816171588E-4;9.9001221048339E-5
18;1.2508500589713783E-4;9.552747138939743E-5
19;1.1648279537547563E-4;9.235957054406839E-5
20;1.0902939944831087E-4;8.946183821579995E-5
21;1.0250418911991659E-4;8.680254788919446E-5
22;9.67403652001528E-5;8.435394593006745E-5
23;9.160934349680414E-5;8.209194759167633E-5
24;8.701031155604552E-5;7.999571947770271E-5
25;8.28630533117857E-5;7.804724801286532E-5
26;7.910290214257384E-5;7.62309376685941E-5
27;7.567711715234742E-5;7.453325507844353E-5
28;7.254223342330186E-5;7.294242199742966E-5
29;6.966209263197244E-5;7.144815417632025E-5
30;6.700635773811394E-5;7.004144096534925E-5
31;6.454937782697943E-5;6.871435995276163E-5
32;6.226931005248561E-5;6.745992122706617E-5
33;6.014743294469571E-5;6.627193644943991E-5
34;5.816760393632609E-5;6.514490860152434E-5
35;5.631582682642635E-5;6.407393892647346E-5
36;5.457990393491846E-5;6.30546481639782E-5
37;5.294915413706832E-5;6.208310968052234E-5
38;5.1414182609480535E-5;6.115579251653045E-5
39;4.9966691508239304E-5;6.026951272055464E-5
40;4.8599323301216914E-5;5.942139162730271E-5
41;4.730553034181392E-5;5.8608819971178134E-5
42;4.6079465675669253E-5;5.782942691902608E-5
43;4.491589113860149E-5;5.70810532627581E-5
44;4.381009962121119E-5;5.6361728140939414E-5
